mass0,mass0_5,mass1_0,mass1_5,mass2,time_minutes
0.736435533,0.664144397,1.335881948,1.767075658,2.333421469,13.053
0.7373873,0.656138718,1.330940604,1.76275456,2.328183174,13.0545
0.736351371,0.65368247,1.325960517,1.758453012,2.328021526,13.056
0.743109643,0.652872562,1.323570728,1.761159062,2.32370019,13.0575
0.746935844,0.655432224,1.32743299,1.769361615,2.319367647,13.059
0.744080663,0.655413032,1.333762407,1.780948639,2.311307192,13.0605
0.745842218,0.653754711,1.335292935,1.78636086,2.306728125,13.062
0.73799032,0.653182805,1.326785922,1.780062556,2.312347889,13.0635
0.740304768,0.654809892,1.332120776,1.779558063,2.314317465,13.065
0.742960453,0.654990196,1.330983758,1.784788966,2.317320347,13.0665
0.736182928,0.659169674,1.327418327,1.79483819,2.319871902,13.068
0.73283267,0.668004394,1.323594689,1.804906845,2.31734705,13.0695
0.735070169,0.668537974,1.323872209,1.811610341,2.312683344,13.071
0.729436517,0.659722388,1.329685092,1.813534141,2.311850548,13.0725
0.728665113,0.65112555,1.335975766,1.811414599,2.317508936,13.074
0.723668456,0.648270309,1.337486863,1.808099985,2.320376635,13.0755
0.71156019,0.651562989,1.334838748,1.80882895,2.314802885,13.077
0.707702875,0.656026125,1.334657669,1.810895205,2.31678462,13.0785
0.705607176,0.65928036,1.338338971,1.808995247,2.315324068,13.08
0.700115442,0.665704668,1.342459559,1.812314391,2.321337223,13.0815
0.694167018,0.668797851,1.349189758,1.813980103,2.330973625,13.083
0.687704265,0.672244251,1.345983744,1.809832692,2.330037117,13.0845
0.681794286,0.672777772,1.345701456,1.807416201,2.328248501,13.086
0.684906662,0.671054602,1.347154737,1.799483776,2.329566479,13.0875
0.682032228,0.673246384,1.356552243,1.793405533,2.3250525,13.089
0.679318786,0.676113486,1.349899292,1.791887045,2.320550442,13.0905
0.676889122,0.675599158,1.346075654,1.790846348,2.320789337,13.092
0.683428705,0.673630714,1.351572275,1.78259778,2.32631731,13.0935
0.694347262,0.669033051,1.359477878,1.773393393,2.324798822,13.095
0.703999281,0.670479894,1.363559961,1.770602703,2.31986475,13.0965
0.70840472,0.668737471,1.366963744,1.766617179,2.316765308,13.098
0.707936168,0.666795492,1.371084332,1.769859076,2.314491272,13.0995
0.700548291,0.670261145,1.370089769,1.777383447,2.308878899,13.101
0.703326583,0.670859694,1.371084332,1.783693552,2.312313795,13.1025
0.709827781,0.669650793,1.367815733,1.786380172,2.323408127,13.104
0.70607847,0.667766452,1.362319231,1.785998821,2.32796073,13.1055
0.707010984,0.667348266,1.357261896,1.79059732,2.330130816,13.107
0.7147668,0.672652423,1.354374766,1.788724065,2.328696966,13.1085
0.72389257,0.677661002,1.354613781,1.787290215,2.325435638,13.11
0.725385189,0.676793456,1.355550408,1.787968636,2.328257561,13.1115
0.728144288,0.67330128,1.348400116,1.786218405,2.327475548,13.113
0.723005772,0.66971302,1.342225194,1.788885951,2.327733755,13.1145
0.714601159,0.66873014,1.339577079,1.790894389,2.328631639,13.116
0.719314098,0.670241952,1.348161221,1.79292202,2.326164722,13.1175
0.720220089,0.669129133,1.35441339,1.799490333,2.323659182,13.119
0.717249572,0.6676054,1.356363893,1.804443717,2.319183588,13.1205
0.706979871,0.671136022,1.353075981,1.811729074,2.314114332,13.122
0.693217993,0.666622519,1.350963831,1.814311981,2.315741301,13.1235
0.689963698,0.666918159,1.346403718,1.819781899,2.322703123,13.125
0.692792416,0.669689178,1.339195609,1.821724892,2.327243805,13.1265
0.699017227,0.672183871,1.3361274,1.825915575,2.326785088,13.128
0.701930106,0.676935315,1.337102652,1.828394532,2.324460506,13.1295
0.697113752,0.679276228,1.341443062,1.832288146,2.323273182,13.131
0.698856115,0.684272885,1.340822697,1.83791256,2.321588039,13.1325
0.702578962,0.68692863,1.345201492,1.845229149,2.322686672,13.134
0.69904834,0.684691131,1.345298052,1.858023047,2.317455769,13.1355
0.69425118,0.680369794,1.340556979,1.873723388,2.310150862,13.137
0.695222139,0.675135195,1.338302255,1.880122542,2.307896137,13.1385
0.696089685,0.675925851,1.339851975,1.885908842,2.31129241,13.14
0.694919229,0.678973317,1.341898918,1.895060062,2.307881594,13.1415
0.702011585,0.676367879,1.338229656,1.907279491,2.31563735,13.143
0.700737715,0.672599375,1.337227821,1.916095257,2.320714235,13.1445
0.702223003,0.676908731,1.341444969,1.918878436,2.316045523,13.146
0.699605703,0.679944277,1.341341019,1.92142272,2.318990707,13.1475
0.698815048,0.676291108,1.336515546,1.926298976,2.327444077,13.149
0.699432731,0.674341798,1.339059711,1.934501648,2.328658581,13.1505
0.697709501,0.674856126,1.345447063,1.942187667,2.325829268,13.152
0.697728753,0.675666034,1.35080111,1.949538112,2.325821638,13.1535
0.699870169,0.676437497,1.358047843,1.951850891,2.327364445,13.155
0.699240506,0.673981249,1.35649085,1.958923817,2.326439619,13.1565
0.702038109,0.675620317,1.352304935,1.961036086,2.321814537,13.158
0.704989433,0.67091918,1.355785847,1.951083422,2.323557138,13.1595
0.70669347,0.671986222,1.353014469,1.946187854,2.322470665,13.161
0.702333689,0.667902887,1.34994638,1.943979025,2.329413176,13.1625
0.70653969,0.664038241,1.345166683,1.940556169,2.336336374,13.164
0.708919048,0.663877189,1.342757583,1.938805938,2.34100008,13.1655
0.70271349,0.664353073,1.345108747,1.937533855,2.340780258,13.167
0.705587983,0.668436408,1.342422128,1.9365201,2.336937428,13.1685
0.705073595,0.675079465,1.339496255,1.937159777,2.327643633,13.17
0.698437929,0.679542542,1.335633993,1.937618375,2.326151609,13.1715
0.687995315,0.68005687,1.331016183,1.941222429,2.329116344,13.173
0.685815394,0.68005687,1.335001588,1.944626212,2.32917428,13.1745
0.686671019,0.682025313,1.339923739,1.941835523,2.326649427,13.176
0.687661231,0.685555935,1.326922059,1.932515144,2.331170559,13.1775
0.689917982,0.689696968,1.317227602,1.927515745,2.333760738,13.179
0.682599604,0.691941798,1.317370176,1.92805171,2.327658415,13.1805
0.675795555,0.692862391,1.312474608,1.932708263,2.325114012,13.182
0.670714736,0.696354628,1.309749365,1.927527785,2.325495481,13.1835
0.670334876,0.693499327,1.313198924,1.927585602,2.324701548,13.185
