t,Mass0,Mass0_5,Mass1_0,Mass1_5,Mass2_0,Minutes
5491,-0.015024631,0.510344863,0.982266068,1.513054252,1.998275876,8.235
5492,-0.014039409,0.508867025,0.983251274,1.512807965,1.998275876,8.2365
5493,-0.014285714,0.507142901,0.983990192,1.512807965,1.99802959,8.238
5494,-0.014778325,0.506403983,0.984975398,1.511822701,1.998768568,8.2395
5495,-0.015024631,0.506403983,0.985714316,1.512315273,1.999753714,8.241
5496,-0.015763547,0.50591135,0.986206949,1.513300538,1.999753714,8.2425
5497,-0.016009852,0.505665064,0.986206949,1.513546824,1.999507427,8.244
5498,-0.015517242,0.505418718,0.98546803,1.514039397,1.997783303,8.2455
5499,-0.014778325,0.504679799,0.984975398,1.514039397,1.997537017,8.247
5500,-0.015763547,0.504926145,0.984236479,1.514532089,1.997537017,8.2485
5501,-0.015763547,0.505418718,0.98349756,1.516256213,1.998522282,8.25
5502,-0.014778325,0.506157637,0.983251274,1.516748786,1.998275876,8.2515
5503,-0.013546798,0.506157637,0.982758641,1.516748786,1.998275876,8.253
5504,-0.012807882,0.506157637,0.982758641,1.516748786,1.997537017,8.2545
5505,-0.012807882,0.507142901,0.983251274,1.515270948,1.997783303,8.256
5506,-0.013054187,0.506157637,0.983004928,1.514778376,1.997783303,8.2575
5507,-0.013054187,0.505665064,0.983004928,1.515517235,1.997783303,8.259
5508,-0.012315271,0.505172431,0.983251274,1.515517235,1.998522282,8.2605
5509,-0.013054187,0.505172431,0.98349756,1.514778376,1.997783303,8.262
5510,-0.014039409,0.505665064,0.983251274,1.513793111,1.99729073,8.2635
5511,-0.013546798,0.506403983,0.982512355,1.514039397,1.99729073,8.265
5512,-0.013300493,0.506896555,0.981773436,1.514039397,1.996551752,8.2665
5513,-0.013793103,0.506896555,0.98152715,1.513054252,1.995566607,8.268
5514,-0.014039409,0.507142901,0.98152715,1.512807965,1.996059179,8.2695
5515,-0.013793103,0.506896555,0.981280804,1.512561679,1.996551752,8.271
5516,-0.013054187,0.506896555,0.981280804,1.512807965,1.99729073,8.2725
5517,-0.013054187,0.506157637,0.981034517,1.513546824,1.99729073,8.274
5518,-0.012068965,0.504926145,0.982019722,1.512807965,1.997044444,8.2755
5519,-0.011330049,0.504926145,0.983004928,1.511822701,1.996305466,8.277
5520,-0.01182266,0.504187226,0.982266068,1.512068987,1.996059179,8.2785
5521,-0.013546798,0.504926145,0.982512355,1.512315273,1.996305466,8.28
5522,-0.014285714,0.505418718,0.982758641,1.512807965,1.996551752,8.2815
5523,-0.013793103,0.504679799,0.982019722,1.513054252,1.996551752,8.283
5524,-0.012068965,0.504926145,0.981773436,1.512807965,1.997044444,8.2845
5525,-0.011083744,0.505418718,0.982266068,1.512315273,1.995812893,8.286
5526,-0.012068965,0.505172431,0.982019722,1.512561679,1.995566607,8.2875
5527,-0.012068965,0.503694594,0.982512355,1.512068987,1.996551752,8.289
5528,-0.01182266,0.502955675,0.983004928,1.513054252,1.99729073,8.2905
5529,-0.012315271,0.502709389,0.983251274,1.513546824,1.998768568,8.292
5530,-0.01182266,0.501477838,0.983251274,1.513793111,2,8.2935
5531,-0.010837439,0.501231551,0.982758641,1.514532089,2.000492573,8.295
5532,-0.010837439,0.501231551,0.982512355,1.515024662,1.999261141,8.2965
5533,-0.011083744,0.501477838,0.982758641,1.515517235,1.998275876,8.298
5534,-0.010837439,0.500738919,0.982512355,1.515270948,1.998522282,8.2995
5535,-0.011083744,0.500738919,0.983004928,1.514285803,1.998768568,8.301
5536,-0.011330049,0.500492632,0.982512355,1.513793111,1.999507427,8.3025
5537,-0.01182266,0.500738919,0.982019722,1.515024662,1.999753714,8.304
5538,-0.012315271,0.500738919,0.982266068,1.51576364,1.999014854,8.3055
5539,-0.011083744,0.500985265,0.981280804,1.516256213,1.998275876,8.307
5540,-0.010344828,0.499753714,0.981034517,1.516256213,1.99802959,8.3085
5541,-0.009852218,0.500738919,0.981280804,1.516995072,1.999014854,8.31
5542,-0.010591133,0.500738919,0.981034517,1.517241478,1.998768568,8.3115
5543,-0.011083744,0.500738919,0.981034517,1.517487764,1.998522282,8.313
5544,-0.010837439,0.500492632,0.982019722,1.517487764,1.998768568,8.3145
5545,-0.010098523,0.501477838,0.981034517,1.517734051,1.997537017,8.316
5546,-0.009605912,0.502709389,0.981034517,1.517734051,1.996798038,8.3175
5547,-0.009359607,0.501724124,0.982019722,1.517241478,1.996551752,8.319
5548,-0.009852218,0.503201962,0.982512355,1.516995072,1.996059179,8.3205
5549,-0.010098523,0.500738919,0.982266068,1.5165025,1.995566607,8.322
5550,-0.010098523,0.500246346,0.982019722,1.51576364,1.996059179,8.3235
5551,-0.010344828,0.499507397,0.981773436,1.514532089,1.995566607,8.325
5552,-0.010344828,0.499753714,0.982758641,1.514285803,1.994581342,8.3265
5553,-0.009359607,0.500738919,0.983251274,1.514778376,1.993349791,8.328
5554,-0.00862069,0.500246346,0.98349756,1.515270948,1.991871953,8.3295
5555,-0.008128079,0.501231551,0.983743846,1.515024662,1.992118239,8.331
5556,-0.007881774,0.500985265,0.983251274,1.514285803,1.992610931,8.3325
5557,-0.008128079,0.50197047,0.98349756,1.514285803,1.991871953,8.334
5558,-0.008374385,0.501724124,0.98349756,1.515024662,1.992610931,8.3355
5559,-0.009113301,0.501231551,0.983251274,1.514532089,1.991871953,8.337
5560,-0.009113301,0.500492632,0.983743846,1.513546824,1.992118239,8.3385
5561,-0.009113301,0.500738919,0.983251274,1.512561679,1.992364645,8.34
5562,-0.009113301,0.500492632,0.983251274,1.512561679,1.991871953,8.3415
5563,-0.010344828,0.501231551,0.983990192,1.513054252,1.991871953,8.343
5564,-0.011330049,0.500492632,0.982758641,1.513054252,1.991133094,8.3445
5565,-0.01182266,0.502709389,0.982512355,1.513054252,1.990394115,8.346
5566,-0.010591133,0.501477838,0.983004928,1.512807965,1.989901543,8.3475
5567,-0.009359607,0.503694594,0.983743846,1.512561679,1.989901543,8.349
5568,-0.008128079,0.503694594,0.985221684,1.513054252,1.989901543,8.3505
5569,-0.008128079,0.504187226,0.985960603,1.514285803,1.989901543,8.352
5570,-0.008374385,0.504433513,0.985714316,1.515270948,1.990147829,8.3535
5571,-0.00862069,0.504926145,0.984482765,1.516009927,1.990640402,8.355
5572,-0.009359607,0.505665064,0.984236479,1.515517235,1.992118239,8.3565
5573,-0.009359607,0.504679799,0.983990192,1.514778376,1.992118239,8.358
5574,-0.009359607,0.505418718,0.984975398,1.514532089,1.992118239,8.3595
5575,-0.010098523,0.504433513,0.984975398,1.514285803,1.992857218,8.361
5576,-0.010098523,0.505418718,0.984482765,1.514532089,1.991871953,8.3625
5577,-0.010098523,0.505172431,0.984482765,1.51576364,1.991871953,8.364
5578,-0.010344828,0.50591135,0.984975398,1.517241478,1.992118239,8.3655
5579,-0.009852218,0.505418718,0.98546803,1.518226624,1.992364645,8.367
5580,-0.009605912,0.506650269,0.98546803,1.517734051,1.992118239,8.3685
5581,-0.008374385,0.506157637,0.985221684,1.516256213,1.992610931,8.37
5582,-0.006896552,0.507389188,0.98546803,1.5165025,1.994088769,8.3715
5583,-0.006896552,0.507389188,0.985221684,1.516009927,1.994827628,8.373
5584,-0.007881774,0.507635474,0.984482765,1.516009927,1.994827628,8.3745
5585,-0.009113301,0.506650269,0.984482765,1.51576364,1.994335055,8.376
5586,-0.010344828,0.50591135,0.983251274,1.515270948,1.994827628,8.3775
5587,-0.010344828,0.504926145,0.982266068,1.515024662,1.995566607,8.379
5588,-0.011083744,0.504187226,0.981280804,1.515270948,1.995320201,8.3805
5589,-0.011576355,0.502955675,0.982266068,1.514285803,1.995073915,8.382
5590,-0.011330049,0.503201962,0.981773436,1.514532089,1.994581342,8.3835
5591,-0.012807882,0.501724124,0.981034517,1.515024662,1.993596077,8.385
5592,-0.013054187,0.501724124,0.980049312,1.51576364,1.992857218,8.3865
5593,-0.011576355,0.502216756,0.980295599,1.515517235,1.992857218,8.388
5594,-0.01182266,0.501477838,0.980788231,1.514285803,1.993596077,8.3895
5595,-0.012068965,0.500985265,0.981034517,1.514532089,1.994088769,8.391
5596,-0.011330049,0.50197047,0.980049312,1.514778376,1.993349791,8.3925
5597,-0.012807882,0.502709389,0.97955668,1.515270948,1.992857218,8.394
5598,-0.013300493,0.502216756,0.979310393,1.516256213,1.993103504,8.3955
5599,-0.014039409,0.502463043,0.978571475,1.516995072,1.993596077,8.397
5600,-0.015517242,0.501477838,0.978817761,1.517241478,1.992857218,8.3985
5601,-0.015763547,0.500492632,0.979310393,1.518719316,1.992610931,8.4
5602,-0.016256157,0.5,0.97955668,1.519704461,1.993103504,8.4015
5603,-0.016009852,0.501231551,0.978817761,1.520197034,1.993103504,8.403
5604,-0.015270936,0.50197047,0.979064047,1.519950747,1.992364645,8.4045
5605,-0.014778325,0.502955675,0.978571475,1.518965602,1.991871953,8.406
5606,-0.015024631,0.504187226,0.978817761,1.518965602,1.991871953,8.4075
5607,-0.015517242,0.505418718,0.978571475,1.520197034,1.992857218,8.409
5608,-0.016009852,0.506403983,0.979310393,1.521921277,1.993349791,8.4105
5609,-0.015270936,0.508620679,0.980049312,1.522660136,1.994088769,8.412
5610,-0.01453202,0.509852231,0.981280804,1.522906423,1.994827628,8.4135
5611,-0.015024631,0.510591149,0.98152715,1.523152709,1.994335055,8.415
5612,-0.01453202,0.511576355,0.981280804,1.523891687,1.994088769,8.4165
5613,-0.015270936,0.512315273,0.980541885,1.522906423,1.994335055,8.418
5614,-0.016256157,0.511822701,0.980541885,1.52241385,1.995073915,8.4195
5615,-0.015024631,0.510837436,0.97955668,1.52241385,1.995073915,8.421
5616,-0.014039409,0.512068987,0.979802966,1.522660136,1.994581342,8.4225
5617,-0.013793103,0.513054192,0.97955668,1.522906423,1.994335055,8.424
5618,-0.013054187,0.514285743,0.979064047,1.521182299,1.994335055,8.4255
5619,-0.012315271,0.515517235,0.978571475,1.519211888,1.993596077,8.427
5620,-0.011330049,0.515517235,0.978571475,1.51847291,1.992857218,8.4285
5621,-0.010591133,0.515270948,0.97955668,1.51847291,1.993596077,8.43
5622,-0.011083744,0.515763581,0.97955668,1.519950747,1.993842483,8.4315
5623,-0.011330049,0.515763581,0.979310393,1.521428585,1.994827628,8.433
5624,-0.009852218,0.516009867,0.979802966,1.521674871,1.994088769,8.4345
5625,-0.009605912,0.516009867,0.978817761,1.521428585,1.992857218,8.436
5626,-0.009852218,0.515517235,0.978325129,1.520689726,1.991871953,8.4375
5627,-0.009113301,0.513793111,0.977339923,1.519211888,1.990886807,8.439
5628,-0.008866996,0.512561619,0.977339923,1.517734051,1.990886807,8.4405
5629,-0.00862069,0.511330068,0.977093637,1.516995072,1.991133094,8.442
5630,-0.009359607,0.510591149,0.976354718,1.516748786,1.990640402,8.4435
5631,-0.009359607,0.511083782,0.975862086,1.516748786,1.989901543,8.445
5632,-0.009852218,0.510837436,0.976847291,1.516256213,1.988916278,8.4465
5633,-0.010591133,0.510344863,0.978078842,1.516009927,1.988916278,8.448
5634,-0.010837439,0.509359598,0.978817761,1.516009927,1.98940897,8.4495
5635,-0.011330049,0.508128107,0.979802966,1.516256213,1.989162564,8.451
5636,-0.010837439,0.507389188,0.980788231,1.516748786,1.988423705,8.4525
5637,-0.010837439,0.507142901,0.980541885,1.517487764,1.987931132,8.454
5638,-0.011576355,0.506896555,0.979310393,1.517734051,1.987684846,8.4555
5639,-0.011576355,0.507389188,0.978571475,1.517241478,1.986945868,8.457
5640,-0.011083744,0.506650269,0.97955668,1.516009927,1.986945868,8.4585
5641,-0.010344828,0.50591135,0.981034517,1.515517235,1.987192154,8.46
5642,-0.011330049,0.504926145,0.980788231,1.514778376,1.988177419,8.4615
5643,-0.011083744,0.50394088,0.98152715,1.513300538,1.988423705,8.463
5644,-0.010098523,0.504433513,0.981773436,1.512315273,1.988916278,8.4645
5645,-0.010591133,0.505665064,0.982266068,1.513300538,1.989655256,8.466
5646,-0.011576355,0.506157637,0.98152715,1.515024662,1.988669991,8.4675
5647,-0.012068965,0.507142901,0.980788231,1.516009927,1.987931132,8.469
5648,-0.01182266,0.507142901,0.981773436,1.516009927,1.987931132,8.4705
5649,-0.011576355,0.50591135,0.983004928,1.515517235,1.988177419,8.472
5650,-0.011083744,0.504926145,0.982758641,1.515024662,1.988423705,8.4735
5651,-0.011330049,0.504433513,0.983004928,1.513793111,1.988669991,8.475
5652,-0.012068965,0.504187226,0.983004928,1.513054252,1.988669991,8.4765
5653,-0.011576355,0.503694594,0.983004928,1.512315273,1.989655256,8.478
5654,-0.011083744,0.503448308,0.98152715,1.511822701,1.990886807,8.4795
5655,-0.010837439,0.502216756,0.982019722,1.511576414,1.991133094,8.481
5656,-0.010837439,0.500985265,0.982019722,1.511822701,1.991625667,8.4825
5657,-0.012561576,0.500492632,0.981773436,1.512068987,1.992364645,8.484
5658,-0.012807882,0.5,0.980295599,1.512561679,1.991625667,8.4855
5659,-0.013793103,0.500985265,0.979802966,1.512807965,1.991133094,8.487
5660,-0.014039409,0.50197047,0.981034517,1.512807965,1.991133094,8.4885
5661,-0.013300493,0.50197047,0.982266068,1.513300538,1.991871953,8.49
5662,-0.013054187,0.501477838,0.982758641,1.514039397,1.991871953,8.4915
5663,-0.013546798,0.501231551,0.982266068,1.513546824,1.991625667,8.493
5664,-0.013546798,0.500492632,0.982758641,1.512561679,1.992364645,8.4945
5665,-0.013546798,0.499507397,0.982266068,1.512068987,1.993103504,8.496
5666,-0.012807882,0.499753714,0.98152715,1.512068987,1.992610931,8.4975
5667,-0.01182266,0.500985265,0.981034517,1.512561679,1.992857218,8.499
5668,-0.01182266,0.501231551,0.981034517,1.513054252,1.993842483,8.5005
5669,-0.012068965,0.502216756,0.980049312,1.513054252,1.994088769,8.502
5670,-0.012315271,0.502709389,0.979802966,1.512807965,1.993103504,8.5035
5671,-0.012561576,0.502955675,0.979064047,1.512807965,1.992118239,8.505
5672,-0.013300493,0.502955675,0.979064047,1.513546824,1.991625667,8.5065
5673,-0.013300493,0.50394088,0.978078842,1.514778376,1.992364645,8.508
5674,-0.012807882,0.504187226,0.979064047,1.515024662,1.993103504,8.5095
5675,-0.012561576,0.504433513,0.980049312,1.515270948,1.993596077,8.511
5676,-0.013300493,0.505665064,0.980541885,1.51576364,1.995073915,8.5125
5677,-0.013546798,0.505172431,0.980541885,1.51576364,1.995073915,8.514
5678,-0.014039409,0.505172431,0.979064047,1.516009927,1.994335055,8.5155
5679,-0.015270936,0.504679799,0.977832556,1.515270948,1.993349791,8.517
5680,-0.016009852,0.504926145,0.977093637,1.51576364,1.993349791,8.5185
5681,-0.015763547,0.503448308,0.977093637,1.516256213,1.993596077,8.52
5682,-0.014778325,0.503694594,0.976847291,1.51576364,1.993103504,8.5215
5683,-0.014285714,0.50394088,0.978571475,1.515517235,1.993349791,8.523
5684,-0.014778325,0.503448308,0.97955668,1.515517235,1.994827628,8.5245
5685,-0.015270936,0.502216756,0.980295599,1.514778376,1.995073915,8.526
5686,-0.015270936,0.500985265,0.980541885,1.514532089,1.994827628,8.5275
5687,-0.014285714,0.500738919,0.979802966,1.515517235,1.994827628,8.529
5688,-0.013793103,0.500246346,0.979064047,1.515517235,1.995566607,8.5305
5689,-0.013793103,0.5,0.97955668,1.51576364,1.995812893,8.532
5690,-0.013054187,0.5,0.980788231,1.515517235,1.996305466,8.5335
5691,-0.013054187,0.499014795,0.982266068,1.51576364,1.996059179,8.535
5692,-0.012315271,0.499014795,0.983251274,1.5165025,1.995812893,8.5365
5693,-0.011576355,0.498522192,0.983004928,1.516748786,1.995812893,8.538
5694,-0.011083744,0.498275876,0.982758641,1.515517235,1.995812893,8.5395
5695,-0.010098523,0.498275876,0.982512355,1.515270948,1.996059179,8.541
5696,-0.010098523,0.498275876,0.982512355,1.515024662,1.996551752,8.5425
5697,-0.010098523,0.499507397,0.983004928,1.514778376,1.997783303,8.544
5698,-0.010591133,0.5,0.983743846,1.514285803,1.99802959,8.5455
5699,-0.011330049,0.500492632,0.984236479,1.514039397,1.997537017,8.547
5700,-0.012068965,0.501231551,0.984975398,1.515024662,1.997537017,8.5485
5701,-0.013054187,0.500985265,0.985714316,1.515517235,1.99729073,8.55
5702,-0.013054187,0.502463043,0.984729111,1.515517235,1.996059179,8.5515
5703,-0.012315271,0.503201962,0.983990192,1.516995072,1.996059179,8.553
5704,-0.012807882,0.503694594,0.98349756,1.51847291,1.995812893,8.5545
5705,-0.013300493,0.503448308,0.983990192,1.51847291,1.995566607,8.556
5706,-0.013300493,0.503694594,0.984975398,1.519211888,1.995320201,8.5575
5707,-0.012807882,0.504187226,0.985714316,1.519211888,1.995320201,8.559
5708,-0.012807882,0.505172431,0.985960603,1.519704461,1.995812893,8.5605
5709,-0.013054187,0.505665064,0.984482765,1.51847291,1.996059179,8.562
5710,-0.013546798,0.50591135,0.98349756,1.517734051,1.996305466,8.5635
5711,-0.013793103,0.50591135,0.983743846,1.516995072,1.996059179,8.565
5712,-0.013546798,0.505418718,0.983990192,1.517487764,1.995812893,8.5665
5713,-0.012807882,0.50394088,0.984729111,1.517487764,1.996059179,8.568
5714,-0.012068965,0.503201962,0.985221684,1.516995072,1.995566607,8.5695
5715,-0.011330049,0.502709389,0.985714316,1.516995072,1.994581342,8.571
5716,-0.010591133,0.501477838,0.98546803,1.516748786,1.994581342,8.5725
5717,-0.010591133,0.500738919,0.984975398,1.516995072,1.995073915,8.574
5718,-0.010098523,0.499507397,0.983251274,1.517734051,1.995566607,8.5755
5719,-0.009359607,0.499261111,0.981773436,1.517734051,1.996059179,8.577
5720,-0.009852218,0.498768479,0.982512355,1.517487764,1.996798038,8.5785
5721,-0.010344828,0.499014795,0.982512355,1.516995072,1.996798038,8.58
5722,-0.010591133,0.498522192,0.981773436,1.516995072,1.996798038,8.5815
5723,-0.010591133,0.498522192,0.98152715,1.516995072,1.997537017,8.583
5724,-0.010837439,0.498522192,0.980788231,1.516256213,1.998522282,8.5845
